G000005825	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Bacillus_S; s__Bacillus_S pseudofirmus
G000009825	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Bacillus_H; s__Bacillus_H rhizosphaerae
G001310595	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Bacillus_H; s__Bacillus_H sp000576325
G001484965	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Bacillus_H; s__Bacillus_H shacheensis
G900096965	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Bacillus_H; s__Bacillus_H lonarensis
G000292245	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus alcalophilus
X76436	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus alcalophilus
X76449	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus pseudalcaliphilus
G001590785	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus trypoxylicola
AB681895	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus trypoxylicola
AY032601	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus macyae
EF422411	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus alkalinitrilicus
HM460885	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus hemicentroti
AF541966	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus hwajinpoensis
AY228462	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus algicola
MK249707	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus caeni
AJ315075	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus decolorationis
HM054473	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus hunanensis
MN508905	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus miscanthi
AB188090	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus oshimensis
HM054474	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus xiaoxiensis
HQ620634	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus shacheensis
AY258614	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus patagoniensis
CP019985	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus clausii
HG934297	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus lonarensis
X76446	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus gibsonii
AJ316316	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus murimartini
AB086897	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus krulwichiae
AB043851	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus wakoensis
DQ026060	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus okhensis
AB043858	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus akibai
AJ606037	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus alkalisediminis
LN610501	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus kiskunsagensis
AB043846	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus hemicellulosilyticus
LT844663	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus alkalilacus
AY376312	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus bogoriensis
KY612314	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus urbisdiaboli
GQ292773	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus nanhaiisediminis
EU621902	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Alkalihalobacillus; s__Alkalihalobacillus marmarensis
